abundance_day,COD-Inf [mg/L],P-Inf [mg/L],P-return [mg/L],N-Inf [mg/L],COD:P,COD:N,N:P,P_An-1 [mg/L],Acetate ppm [mg/L],Propionate ppm [mg/L],Acetate ppm [COD mg/L],Propionate ppm [COD mg/L],COD_An_1 [COD mg/L],P_An-2 [COD mg/L],COD_An_2 [COD mg/L],DO_An-1 [mg/L],DO_An-2 [mg/L],OPR_An-1 [mV],OPR_An-2 [mV],An_time [minutes],P_Ax-1 [mg/L],N_Ax-1 [mg/L],P_Ax-2 [mg/L],N_Ax-2 [mg/L],peakN2O [mg/L],pN2O_time [minutes],ORP_Ax-2 [mV],Ax_react_time [minutes],Ax_time [minutes],P_A-1 [mg/L],P_A-2 [mg/L],A_time [minutes],MLSS,MLSS [avg],SRT,COD removal [COD%],N removal [N%],N to N2O conversion [N2O%],P removal [P%],Cod removal (ppm) [COD-ppm],N removal (ppm) [N-ppn],P removal (ppm) [P-ppm],Anoxic P removal [ANO-P-ppm],Aerobic P removal [AER-P-ppm],denitrification rate [mg NO2–N  h−1],specific denitrification rates [mg NO2–N g−1 VSS−1 h−1]
-239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-238,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
-237,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-236,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-235,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-234,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-233,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False
-232,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-231,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-230,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
-229,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-228,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-227,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
-226,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
-225,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
-224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-223,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
-222,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
-221,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,False
